article_id,headline,url,published_date
a9283f2c8de6d9db9672c4dab1e53a22ee706d7e,Michael Douglas meets newborn grandson for the first time,https://www.cnn.com/2021/01/20/entertainment/michael-douglas-newborn-grandson-photo-trnd/index.html,2021-01-20 19:47:26.000 Z
7517041ab9d22c16549366ab2e2504f718e271c3,Pompeo's Xinjiang 'genocide' declaration presents Biden with an early China challenge,https://www.cnn.com/2021/01/22/china/us-china-xinjiang-pompeo-biden-intl-hnk/index.html,2021-01-22 05:38:20.000 Z
b401b2b006e0cfd6ecd7ded6ead2a4d7698f882f,Glad-handing Biden begins foreign diplomacy with the telephone,https://www.cnn.com/2021/01/22/politics/joe-biden-foreign-leaders/index.html,2021-01-22 21:45:57.000 Z
6893b1b144dc3bb84d949e5292cd70b44008e17a,"Rotting fish, lost business and piles of red tape. The reality of Brexit hits Britain",https://www.cnn.com/2021/01/23/business/brexit-business-intl-gbr/index.html,2021-01-23 05:00:47.000 Z
7cfd68fb0350b4b8992e5dfbf1eecf5fc03461bd,Impeachment complicates Biden's efforts to unify,https://www.cnn.com/2021/01/23/politics/joe-biden-agenda-trump-impeachment/index.html,2021-01-23 16:53:23.000 Z
381f89ca18eb0c7a0fbd44f2dff2655ee9804f53,Dinosaur fossils could belong to the world's largest ever creature,https://www.cnn.com/2021/01/19/americas/dinosaur-largest-titanosaur-intl-scli-scn/index.html,2021-01-20 00:43:34.000 Z
f1b9d9156c7064e008463fa5023d231c27d1f985,Prospects of convicting Trump erode as GOP grows vocal against Senate impeachment proceedings,https://www.cnn.com/2021/01/22/politics/senate-republicans-trump-impeachment-case/index.html,2021-01-23 02:23:01.000 Z
e2292baeb0b99a85afcf4c47c45b8348502efadd,QAnon believers are in disarray after Biden is inaugurated,https://www.cnn.com/2021/01/20/tech/qanon-believers-inauguration-reaction/index.html,2021-01-21 13:26:19.000 Z
5099f76dcecb37fd1596de23f0d298efaea3fddf,12 Army National Guard members removed from inauguration duty,https://www.cnn.com/2021/01/19/politics/national-guard-removed-inauguration-duty/index.html,2021-01-19 20:51:40.000 Z
308f90e1c4c7e89d06aa3756dd0d34b33cf3dac5,The man third in the line of presidential succession has been in five 'Batman' movies,https://www.cnn.com/2021/01/23/us/senator-patrick-leahy-batman-trnd/index.html,2021-01-23 19:00:28.000 Z
a98187406872a4e5cb91e6a2b4a7b76a1bb60264,"Biden administration to rescind Keystone pipeline permit on Wednesday, sources say",https://www.cnn.com/2021/01/19/politics/keystone-xl-pipeline-biden/index.html,2021-01-19 19:19:16.000 Z
77e2fe5aa1b34a93491af7516ae6e12fc1d37b28,Capitol rioter charged with threatening to 'assassinate' Rep. Ocasio-Cortez,https://www.cnn.com/2021/01/23/politics/garret-miller-capitol-riot-threaten-alexandria-ocasio-cortez/index.html,2021-01-23 20:25:54.000 Z
96504e0f0142c2c4334d237344ca64b62aabdacd,"Biden inheriting nonexistent coronavirus vaccine distribution plan and must start 'from scratch,' sources say",https://www.cnn.com/2021/01/21/politics/biden-covid-vaccination-trump/index.html,2021-01-21 16:37:31.000 Z
38f29c2a6ab4e5230dc34f6dd79b3e4ef62cac17,The face mask that could end the pandemic,https://www.cnn.com/2021/01/22/health/face-mask-n95-coronavirus-transmission/index.html,2021-01-23 15:24:09.000 Z
